['201811147', [0.22, 0.78, 442], [0.45, 0.55, 40], [0.89, 0.11, 83], [0.25, 0.11, 0.28, 0.36, 64], [1], [9, 168, 0, 9]]
['201811148', [0.31, 0.69, 344], [0.68, 0.32, 37], [0.9, 0.1, 62], [0.46, 0.15, 0.0, 0.38, 13], [3], [6, 141, 0, 6]]
['201811157', [0.19, 0.81, 380], [0.47, 0.53, 34], [0.88, 0.12, 67], [0.22, 0.0, 0.4, 0.38, 45], [1], [2, 139, 0, 8]]
['201811172', [0.38, 0.62, 269], [0.5, 0.5, 40], [0.87, 0.13, 53], [0.24, 0.0, 0.4, 0.36, 45], [0], [1, 106, 0, 7]]
['201811181', [0.21, 0.79, 356], [0.52, 0.48, 29], [0.92, 0.08, 92], [0.17, 0.0, 0.41, 0.41, 29], [1], [0, 142, 1, 7]]
['201811191', [0.26, 0.74, 363], [0.59, 0.41, 41], [0.91, 0.09, 75], [0.21, 0.0, 0.11, 0.68, 28], [1], [5, 160, 0, 7]]
['201811193', [0.19, 0.81, 440], [0.77, 0.23, 26], [0.93, 0.07, 55], [0.22, 0.0, 0.06, 0.72, 18], [0], [0, 119, 0, 4]]
['201822019', [0.37, 0.63, 250], [0.48, 0.52, 31], [0.98, 0.02, 41], [0.42, 0.26, 0.0, 0.32, 19], [0], [13, 103, 0, 1]]
['201822021', [0.25, 0.75, 320], [0.48, 0.52, 25], [0.84, 0.16, 63], [0.26, 0.0, 0.05, 0.68, 19], [1], [4, 115, 0, 10]]
['201822022', [0.27, 0.73, 195], [0.56, 0.44, 16], [0.97, 0.03, 39], [0.43, 0.21, 0.0, 0.36, 14], [0], [12, 73, 0, 1]]
['201911000', [0.41, 0.59, 231], [0.68, 0.32, 19], [0.81, 0.19, 43], [0.15, 0.0, 0.33, 0.53, 55], [2], [1, 68, 0, 8]]
['201911002', [0.24, 0.76, 83], [0.24, 0.76, 33], [1.0, 0.0, 11], [1.0, 0.0, 0.0, 0.0, 1], [0], [0, 34, 0, 0]]
['201911005', [0.32, 0.68, 387], [0.57, 0.43, 30], [0.85, 0.15, 68], [0.18, 0.05, 0.32, 0.45, 22], [1], [3, 144, 2, 10]]
['201911006', [0.42, 0.58, 250], [0.53, 0.47, 38], [0.89, 0.11, 56], [0.09, 0.0, 0.0, 0.91, 11], [1], [19, 120, 0, 6]]
['201911008', [0.38, 0.62, 338], [0.61, 0.39, 28], [0.87, 0.13, 63], [0.24, 0.0, 0.18, 0.59, 34], [0], [7, 129, 1, 8]]
['201911009', [0.21, 0.79, 394], [0.64, 0.36, 50], [0.88, 0.12, 74], [0.61, 0.03, 0.0, 0.35, 31], [1], [5, 176, 0, 9]]
['201911010', [0.22, 0.78, 444], [0.48, 0.52, 42], [0.9, 0.1, 81], [0.25, 0.09, 0.36, 0.3, 53], [1], [3, 166, 0, 8]]
['201911012', [0.28, 0.72, 319], [0.51, 0.49, 53], [0.9, 0.1, 68], [0.15, 0.0, 0.42, 0.44, 55], [0], [0, 166, 0, 7]]
['201911013', [0.19, 0.81, 423], [0.7, 0.3, 44], [0.89, 0.11, 100], [0.13, 0.02, 0.38, 0.47, 55], [0], [2, 200, 0, 11]]
['201911015', [0.3, 0.7, 359], [0.61, 0.39, 41], [0.87, 0.13, 70], [0.48, 0.0, 0.06, 0.45, 31], [6], [7, 165, 0, 9]]
['201911018', [0.16, 0.84, 446], [0.45, 0.55, 49], [0.89, 0.11, 61], [0.5, 0.0, 0.31, 0.19, 16], [0], [5, 140, 0, 7]]
['201911020', [0.17, 0.83, 273], [0.41, 0.59, 37], [0.83, 0.17, 46], [0.75, 0.08, 0.0, 0.17, 12], [0], [0, 123, 0, 8]]
['201911021', [0.15, 0.85, 383], [0.65, 0.35, 43], [0.86, 0.14, 72], [0.4, 0.0, 0.02, 0.57, 42], [2], [3, 180, 0, 10]]
['201911022', [0.26, 0.74, 568], [0.31, 0.69, 42], [0.9, 0.1, 78], [0.19, 0.0, 0.46, 0.35, 54], [0], [3, 199, 0, 8]]
['201911024', [0.36, 0.64, 430], [0.4, 0.6, 63], [0.94, 0.06, 120], [0.22, 0.0, 0.37, 0.42, 65], [4], [4, 245, 0, 7]]
['201911025', [0.23, 0.77, 462], [0.46, 0.54, 59], [0.92, 0.08, 95], [0.29, 0.08, 0.29, 0.35, 63], [0], [5, 162, 0, 8]]
['201911029', [0.45, 0.55, 258], [0.33, 0.67, 33], [0.91, 0.09, 57], [0.37, 0.0, 0.0, 0.63, 19], [0], [1, 131, 0, 5]]
['201911031', [0.18, 0.82, 376], [0.2, 0.8, 40], [0.88, 0.12, 68], [0.12, 0.22, 0.03, 0.62, 32], [2], [6, 136, 0, 8]]
['201911033', [0.46, 0.54, 391], [0.37, 0.63, 46], [0.89, 0.11, 76], [0.21, 0.0, 0.06, 0.72, 47], [1], [2, 174, 0, 8]]
['201911034', [0.35, 0.65, 313], [0.5, 0.5, 50], [0.89, 0.11, 63], [0.34, 0.03, 0.07, 0.55, 29], [0], [4, 147, 1, 7]]
['201911035', [0.5, 0.5, 407], [0.29, 0.71, 34], [0.91, 0.09, 66], [0.21, 0.04, 0.18, 0.57, 28], [0], [0, 188, 0, 6]]
['201911037', [0.1, 0.9, 163], [0.63, 0.37, 38], [0.79, 0.21, 28], [0.18, 0.0, 0.0, 0.82, 11], [0], [1, 71, 0, 6]]
